year,eweek,type_dengue,number
2014,1,Dengue,436
2014,1,DHF,1
2014,2,Dengue,479
2014,2,DHF,0
2014,3,Dengue,401
2014,3,DHF,0
2014,4,Dengue,336
2014,4,DHF,0
2014,5,Dengue,234
2014,5,DHF,0
2014,6,Dengue,273
2014,6,DHF,1
2014,7,Dengue,369
2014,7,DHF,0
2014,8,Dengue,193
2014,8,DHF,1
2014,9,Dengue,186
2014,9,DHF,1
2014,10,Dengue,209
2014,10,DHF,1
2014,11,Dengue,224
2014,11,DHF,1
2014,12,Dengue,210
2014,12,DHF,0
2014,13,Dengue,225
2014,13,DHF,0
2014,14,Dengue,240
2014,14,DHF,0
2014,15,Dengue,244
2014,15,DHF,1
2014,16,Dengue,235
2014,16,DHF,0
2014,17,Dengue,282
2014,17,DHF,0
2014,18,Dengue,251
2014,18,DHF,0
2014,19,Dengue,261
2014,19,DHF,0
2014,20,Dengue,291
2014,20,DHF,0
2014,21,Dengue,427
2014,21,DHF,1
2014,22,Dengue,456
2014,22,DHF,0
2014,23,Dengue,458
2014,23,DHF,1
2014,24,Dengue,506
2014,24,DHF,0
2014,25,Dengue,550
2014,25,DHF,1
2014,26,Dengue,671
2014,26,DHF,0
2014,27,Dengue,888
2014,27,DHF,3
2014,28,Dengue,818
2014,28,DHF,1
2014,29,Dengue,744
2014,29,DHF,2
2014,30,Dengue,633
2014,30,DHF,1
2014,31,Dengue,484
2014,31,DHF,0
2014,32,Dengue,545
2014,32,DHF,0
2014,33,Dengue,438
2014,33,DHF,0
2014,34,Dengue,418
2014,34,DHF,0
2014,35,Dengue,367
2014,35,DHF,0
2014,36,Dengue,339
2014,36,DHF,0
2014,37,Dengue,362
2014,37,DHF,0
2014,38,Dengue,396
2014,38,DHF,1
2014,39,Dengue,344
2014,39,DHF,1
2014,40,Dengue,339
2014,40,DHF,0
2014,41,Dengue,278
2014,41,DHF,0
2014,42,Dengue,297
2014,42,DHF,0
2014,43,Dengue,213
2014,43,DHF,0
2014,44,Dengue,186
2014,44,DHF,0
2014,45,Dengue,168
2014,45,DHF,1
2014,46,Dengue,158
2014,46,DHF,0
2014,47,Dengue,149
2014,47,DHF,0
2014,48,Dengue,162
2014,48,DHF,0
2014,49,Dengue,212
2014,49,DHF,0
2014,50,Dengue,177
2014,50,DHF,0
2014,51,Dengue,198
2014,51,DHF,0
2014,52,Dengue,188
2014,52,DHF,0
2014,53,Dengue,158
2014,53,DHF,0
2015,1,Dengue,256
2015,1,DHF,1
2015,2,Dengue,228
2015,2,DHF,0
2015,3,Dengue,238
2015,3,DHF,0
2015,4,Dengue,259
2015,4,DHF,0
2015,5,Dengue,212
2015,5,DHF,0
2015,6,Dengue,173
2015,6,DHF,0
2015,7,Dengue,98
2015,7,DHF,1
2015,8,Dengue,172
2015,8,DHF,0
2015,9,Dengue,189
2015,9,DHF,1
2015,10,Dengue,110
2015,10,DHF,0
2015,11,Dengue,91
2015,11,DHF,0
2015,12,Dengue,129
2015,12,DHF,1
2015,13,Dengue,90
2015,13,DHF,1
2015,14,Dengue,107
2015,14,DHF,0
2015,15,Dengue,137
2015,15,DHF,0
2015,16,Dengue,113
2015,16,DHF,0
2015,17,Dengue,119
2015,17,DHF,0
2015,18,Dengue,135
2015,18,DHF,0
2015,19,Dengue,157
2015,19,DHF,1
2015,20,Dengue,109
2015,20,DHF,0
2015,21,Dengue,178
2015,21,DHF,2
2015,22,Dengue,151
2015,22,DHF,1
2015,23,Dengue,192
2015,23,DHF,1
2015,24,Dengue,207
2015,24,DHF,0
2015,25,Dengue,240
2015,25,DHF,0
2015,26,Dengue,242
2015,26,DHF,0
2015,27,Dengue,272
2015,27,DHF,0
2015,28,Dengue,263
2015,28,DHF,0
2015,29,Dengue,293
2015,29,DHF,0
2015,30,Dengue,250
2015,30,DHF,0
2015,31,Dengue,226
2015,31,DHF,0
2015,32,Dengue,221
2015,32,DHF,0
2015,33,Dengue,250
2015,33,DHF,0
2015,34,Dengue,225
2015,34,DHF,0
2015,35,Dengue,246
2015,35,DHF,0
2015,36,Dengue,217
2015,36,DHF,0
2015,37,Dengue,303
2015,37,DHF,0
2015,38,Dengue,214
2015,38,DHF,0
2015,39,Dengue,257
2015,39,DHF,0
2015,40,Dengue,236
2015,40,DHF,0
2015,41,Dengue,235
2015,41,DHF,0
2015,42,Dengue,224
2015,42,DHF,0
2015,43,Dengue,246
2015,43,DHF,0
2015,44,Dengue,266
2015,44,DHF,0
2015,45,Dengue,198
2015,45,DHF,0
2015,46,Dengue,254
2015,46,DHF,0
2015,47,Dengue,282
2015,47,DHF,1
2015,48,Dengue,259
2015,48,DHF,0
2015,49,Dengue,356
2015,49,DHF,1
2015,50,Dengue,333
2015,50,DHF,0
2015,51,Dengue,367
2015,51,DHF,0
2015,52,Dengue,457
2015,52,DHF,0
2015,53,Dengue,NA
2015,53,DHF,NA
2016,1,Dengue,545
2016,1,DHF,0
2016,2,Dengue,620
2016,2,DHF,0
2016,3,Dengue,636
2016,3,DHF,1
2016,4,Dengue,623
2016,4,DHF,1
2016,5,Dengue,523
2016,5,DHF,2
2016,6,Dengue,419
2016,6,DHF,0
2016,7,Dengue,589
2016,7,DHF,1
2016,8,Dengue,507
2016,8,DHF,4
2016,9,Dengue,411
2016,9,DHF,0
2016,10,Dengue,394
2016,10,DHF,1
2016,11,Dengue,372
2016,11,DHF,1
2016,12,Dengue,301
2016,12,DHF,2
2016,13,Dengue,376
2016,13,DHF,1
2016,14,Dengue,289
2016,14,DHF,2
2016,15,Dengue,221
2016,15,DHF,0
2016,16,Dengue,228
2016,16,DHF,0
2016,17,Dengue,242
2016,17,DHF,0
2016,18,Dengue,178
2016,18,DHF,0
2016,19,Dengue,215
2016,19,DHF,0
2016,20,Dengue,211
2016,20,DHF,0
2016,21,Dengue,198
2016,21,DHF,0
2016,22,Dengue,214
2016,22,DHF,1
2016,23,Dengue,157
2016,23,DHF,1
2016,24,Dengue,192
